total_bill,tip,sex,day,time,size,DayCategory,tip_ratio,total_bill_normalized
16.99,1.01,0,Sun,Dinner,2.0,Weekend,0.05944673337257211,0.3732153629599839
10.34,1.66,1,Sun,Dinner,3.0,Weekend,0.16054158607350097,0.1949192305114284
21.01,3.5,1,Sun,Dinner,3.0,Weekend,0.16658733936220846,0.4809973858837725
23.68,3.31,1,Sun,Dinner,2.0,Weekend,0.1397804054054054,0.5525839533480797
24.59,3.61,0,Sun,Dinner,4.0,Weekend,0.14680764538430255,0.5769823714726189
25.29,4.71,1,Sun,Dinner,4.0,Weekend,0.18623962040332148,0.5957503854145721
8.77,2.0,1,Sun,Dinner,2.0,Weekend,0.22805017103762829,0.1528252563844762
26.88,3.12,1,Sun,Dinner,4.0,Weekend,0.11607142857142858,0.6383805885112944
15.04,1.96,1,Sun,Dinner,2.0,Weekend,0.13031914893617022,0.3209330384074
14.78,3.23,1,Sun,Dinner,2.0,Weekend,0.2185385656292287,0.3139620618003888
10.27,1.71,1,Sun,Dinner,2.0,Weekend,0.1665043816942551,0.19304242911723307
35.26,5.0,0,Sun,Dinner,4.0,Weekend,0.14180374361883155,0.8630605268449629
15.42,1.57,1,Sun,Dinner,2.0,Weekend,0.10181582360570687,0.33112138883303177
18.43,3.0,1,Sun,Dinner,4.0,Weekend,0.16277807921866522,0.4118238487834306
14.83,3.02,0,Sun,Dinner,2.0,Weekend,0.20364126770060686,0.3153026342248141
21.58,3.92,1,Sun,Dinner,2.0,Weekend,0.18164967562557924,0.49627991152222006
10.33,1.67,0,Sun,Dinner,3.0,Weekend,0.1616650532429816,0.19465111602654336
16.29,3.71,1,Sun,Dinner,3.0,Weekend,0.22774708410067526,0.35444734901803077
16.97,3.5,0,Sun,Dinner,3.0,Weekend,0.20624631703005306,0.37267913399021385
20.65,3.35,1,Sat,Dinner,3.0,Weekend,0.16222760290556903,0.47134526442791075
17.92,4.08,1,Sat,Dinner,2.0,Weekend,0.22767857142857142,0.3981500100542933
20.29,2.75,0,Sat,Dinner,2.0,Weekend,0.13553474618038444,0.4616931429720491
15.77,2.23,0,Sat,Dinner,2.0,Weekend,0.14140773620798985,0.34050539580400835
39.42,5.9375,1,Sat,Dinner,4.0,Weekend,0.15062151192288178,0.9745961525571422
19.82,3.18,1,Sat,Dinner,2.0,Weekend,0.16044399596367306,0.449091762182452
17.81,2.34,1,Sat,Dinner,4.0,Weekend,0.13138686131386862,0.3952007507205577
13.37,2.0,1,Sat,Dinner,2.0,Weekend,0.14958863126402394,0.27615791943159734
12.69,2.0,1,Sat,Dinner,2.0,Weekend,0.15760441292356187,0.2579261344594142
21.7,4.3,1,Sat,Dinner,2.0,Weekend,0.19815668202764977,0.4994972853408406
19.65,3.0,0,Sat,Dinner,2.0,Weekend,0.15267175572519084,0.44453381593940616
9.55,1.45,1,Sat,Dinner,2.0,Weekend,0.1518324607329843,0.1737381862055098
18.35,2.5,1,Sat,Dinner,4.0,Weekend,0.13623978201634876,0.40967893290435026
15.06,3.0,0,Sat,Dinner,2.0,Weekend,0.199203187250996,0.32146926737717013
20.69,2.45,0,Sat,Dinner,4.0,Weekend,0.11841469308844853,0.472417722367451
17.78,3.27,1,Sat,Dinner,2.0,Weekend,0.1839145106861642,0.39439640726590264
24.06,3.6,1,Sat,Dinner,3.0,Weekend,0.14962593516209477,0.5627723037737115
16.31,2.0,1,Sat,Dinner,3.0,Weekend,0.12262415695892091,0.35498357798780084
16.93,3.07,0,Sat,Dinner,3.0,Weekend,0.1813349084465446,0.3716066760506737
18.69,2.31,1,Sat,Dinner,3.0,Weekend,0.12359550561797752,0.4187948253904418
31.27,5.0,1,Sat,Dinner,3.0,Weekend,0.1598976654940838,0.7560828473758296
16.04,2.24,1,Sat,Dinner,3.0,Weekend,0.13965087281795513,0.3477444868959046
17.46,2.54,1,Sun,Dinner,2.0,Weekend,0.14547537227949597,0.3858167437495812
13.94,3.06,1,Sun,Dinner,2.0,Weekend,0.21951219512195122,0.29144044507004496
9.68,1.32,1,Sun,Dinner,2.0,Weekend,0.13636363636363638,0.17722367450901538
30.4,5.6,1,Sun,Dinner,4.0,Weekend,0.18421052631578946,0.7327568871908305
18.29,3.0,1,Sun,Dinner,2.0,Weekend,0.16402405686167304,0.40807024599503994
22.23,5.0,1,Sun,Dinner,2.0,Weekend,0.22492127755285649,0.5137073530397481
32.4,5.9375,1,Sun,Dinner,4.0,Weekend,0.18325617283950618,0.7863797841678398
28.55,2.05,1,Sun,Dinner,3.0,Weekend,0.07180385288966724,0.6831557074870972
18.04,3.0,1,Sun,Dinner,2.0,Weekend,0.16629711751662973,0.40136738387291376
12.54,2.5,1,Sun,Dinner,2.0,Weekend,0.19936204146730463,0.2539044171861385
10.29,2.6,0,Sun,Dinner,2.0,Weekend,0.2526724975704568,0.19357865808700317
34.81,5.2,0,Sun,Dinner,4.0,Weekend,0.14938236139040506,0.850995375025136
9.94,1.56,1,Sun,Dinner,2.0,Weekend,0.15694164989939638,0.18419465111602656
25.56,4.34,1,Sun,Dinner,4.0,Weekend,0.1697965571205008,0.6029894765064684
19.49,3.51,1,Sun,Dinner,2.0,Weekend,0.18009235505387378,0.44024398418124544
38.01,3.0,1,Sat,Dinner,4.0,Weekend,0.07892659826361484,0.9367920101883506
26.41,1.5,0,Sat,Dinner,2.0,Weekend,0.05679666792881484,0.6257792077216973
11.24,1.76,1,Sat,Dinner,2.0,Weekend,0.15658362989323843,0.21904953415108255
40.36749999999999,5.9375,1,Sat,Dinner,4.0,Weekend,0.1470861460333189,1.0
20.29,3.21,1,Sat,Dinner,2.0,Weekend,0.1582060128141942,0.4616931429720491
13.81,2.0,1,Sat,Dinner,2.0,Weekend,0.1448225923244026,0.28795495676653937
11.02,1.98,1,Sat,Dinner,2.0,Weekend,0.17967332123411978,0.21315101548361154
18.29,3.76,1,Sat,Dinner,4.0,Weekend,0.20557681793329688,0.40807024599503994
17.59,2.64,1,Sat,Dinner,3.0,Weekend,0.15008527572484368,0.3893022320530867
20.08,3.15,1,Sat,Dinner,3.0,Weekend,0.15687250996015936,0.45606273878946313
16.45,2.47,0,Sat,Dinner,2.0,Weekend,0.1501519756838906,0.3587371807761915
3.07,1.0,0,Sat,Dinner,1.0,Weekend,0.32573289902280134,0.0
20.23,2.01,1,Sat,Dinner,2.0,Weekend,0.09935739001482945,0.4600844560627389
15.01,2.09,1,Sat,Dinner,2.0,Weekend,0.13924050632911392,0.3201286949527449
12.02,1.97,1,Sat,Dinner,2.0,Weekend,0.1638935108153078,0.23996246397211612
17.07,3.0,0,Sat,Dinner,3.0,Weekend,0.1757469244288225,0.37536027883906437
26.86,3.14,0,Sat,Dinner,2.0,Weekend,0.11690245718540582,0.6378443595415243
25.28,5.0,0,Sat,Dinner,2.0,Weekend,0.19778481012658228,0.5954822709296871
14.73,2.2,0,Sat,Dinner,2.0,Weekend,0.14935505770536323,0.3126214893759636
10.51,1.25,1,Sat,Dinner,2.0,Weekend,0.11893434823977164,0.19947717675447418
17.92,3.08,1,Sat,Dinner,2.0,Weekend,0.171875,0.3981500100542933
27.2,4.0,1,Thur,Lunch,4.0,Weekday,0.14705882352941177,0.6469602520276159
22.76,3.0,1,Thur,Lunch,2.0,Weekday,0.13181019332161686,0.5279174207386556
17.29,2.71,1,Thur,Lunch,2.0,Weekday,0.156737998843262,0.38125879750653535
19.44,3.0,1,Thur,Lunch,2.0,Weekday,0.15432098765432098,0.4389034117568203
16.66,3.4,1,Thur,Lunch,2.0,Weekday,0.20408163265306123,0.36436758495877747
10.07,1.83,0,Thur,Lunch,1.0,Weekday,0.1817279046673287,0.18768013941953218
32.68,5.0,1,Thur,Lunch,2.0,Weekday,0.15299877600979192,0.7938869897446211
15.98,2.03,1,Thur,Lunch,2.0,Weekday,0.12703379224030037,0.34613579998659433
34.83,5.17,0,Thur,Lunch,4.0,Weekday,0.14843525696238874,0.8515316039949059
13.03,2.0,1,Thur,Lunch,2.0,Weekday,0.15349194167306218,0.2670420269455058
18.28,4.0,1,Thur,Lunch,2.0,Weekday,0.2188183807439825,0.40780213151015493
24.71,5.85,1,Thur,Lunch,2.0,Weekday,0.23674625657628487,0.5801997452912395
21.16,3.0,1,Thur,Lunch,2.0,Weekday,0.14177693761814744,0.48501910315704816
28.97,3.0,1,Fri,Dinner,2.0,Weekday,0.10355540214014498,0.694416515852269
22.49,3.5,1,Fri,Dinner,2.0,Weekday,0.15562472209871056,0.5206783296467592
5.75,1.0,0,Fri,Dinner,2.0,Weekday,0.17391304347826086,0.07185468194919233
16.32,4.3,0,Fri,Dinner,2.0,Weekday,0.26348039215686275,0.3552516924726859
22.75,3.25,0,Fri,Dinner,2.0,Weekday,0.14285714285714285,0.5276493062537705
40.17,4.73,1,Fri,Dinner,4.0,Weekday,0.1177495643515061,0.9947047389235206
27.28,4.0,1,Fri,Dinner,2.0,Weekday,0.14662756598240467,0.6491051679066964
12.03,1.5,1,Fri,Dinner,2.0,Weekday,0.12468827930174564,0.24023057845700116
21.01,3.0,1,Fri,Dinner,2.0,Weekday,0.1427891480247501,0.4809973858837725
12.46,1.5,1,Fri,Dinner,2.0,Weekday,0.1203852327447833,0.25175950130705815
11.35,2.5,0,Fri,Dinner,2.0,Weekday,0.22026431718061676,0.22199879348481805
15.38,3.0,0,Fri,Dinner,2.0,Weekday,0.19505851755526657,0.3300489308934916
40.36749999999999,2.5,0,Sat,Dinner,3.0,Weekend,0.06193100885613428,1.0
22.42,3.48,0,Sat,Dinner,2.0,Weekend,0.15521855486173058,0.518801528252564
20.92,4.08,0,Sat,Dinner,2.0,Weekend,0.1950286806883365,0.4785843555198071
15.36,1.64,1,Sat,Dinner,2.0,Weekend,0.10677083333333333,0.32951270192372145
20.49,4.06,1,Sat,Dinner,2.0,Weekend,0.19814543679843827,0.46705543266975
25.21,4.29,1,Sat,Dinner,2.0,Weekend,0.1701705672352241,0.5936054695354918
18.24,3.76,1,Sat,Dinner,2.0,Weekend,0.20614035087719298,0.4067296735706147
14.31,4.0,0,Sat,Dinner,2.0,Weekend,0.2795248078266946,0.30136068101079166
14.0,3.0,1,Sat,Dinner,2.0,Weekend,0.21428571428571427,0.2930491319793552
7.25,1.0,0,Sat,Dinner,1.0,Weekend,0.13793103448275862,0.1120718546819492
38.07,4.0,1,Sun,Dinner,3.0,Weekend,0.10506960861570791,0.9384006970976609
23.95,2.55,1,Sun,Dinner,2.0,Weekend,0.10647181628392484,0.559823044439976
25.71,4.0,0,Sun,Dinner,3.0,Weekend,0.15558148580318942,0.6070111937797441
17.31,3.5,0,Sun,Dinner,2.0,Weekend,0.20219526285384173,0.3817950264763054
29.93,5.07,1,Sun,Dinner,4.0,Weekend,0.1693952555963916,0.7201555064012335
10.65,1.5,0,Thur,Lunch,2.0,Weekday,0.14084507042253522,0.20323077954286484
12.43,1.8,0,Thur,Lunch,2.0,Weekday,0.14481094127111827,0.250955157852403
24.08,2.92,0,Thur,Lunch,4.0,Weekday,0.1212624584717608,0.5633085327434816
11.69,2.31,1,Thur,Lunch,2.0,Weekday,0.19760479041916168,0.23111468597090962
13.42,1.68,0,Thur,Lunch,2.0,Weekday,0.12518628912071533,0.27749849185602254
14.26,2.5,1,Thur,Lunch,2.0,Weekday,0.1753155680224404,0.3000201085863664
15.95,2.0,1,Thur,Lunch,2.0,Weekday,0.12539184952978058,0.3453314565319392
12.48,2.52,0,Thur,Lunch,2.0,Weekday,0.20192307692307693,0.2522957302768283
29.8,4.2,0,Thur,Lunch,4.5,Weekday,0.14093959731543623,0.7166700180977279
8.52,1.48,1,Thur,Lunch,2.0,Weekday,0.17370892018779344,0.14612239426235005
14.52,2.0,0,Thur,Lunch,2.0,Weekday,0.13774104683195593,0.3069910851933776
11.38,2.0,0,Thur,Lunch,2.0,Weekday,0.17574692442882248,0.2228031369394732
22.82,2.18,1,Thur,Lunch,3.0,Weekday,0.09553023663453111,0.5295261076479658
19.08,1.5,1,Thur,Lunch,2.0,Weekday,0.07861635220125787,0.42925129030095854
20.27,2.83,0,Thur,Lunch,2.0,Weekday,0.13961519486926494,0.46115691400227904
11.17,1.5,0,Thur,Lunch,2.0,Weekday,0.13428827215756492,0.21717273275688723
12.26,2.0,0,Thur,Lunch,2.0,Weekday,0.1631321370309951,0.24639721160935724
18.26,3.25,0,Thur,Lunch,2.0,Weekday,0.17798466593647316,0.40726590254038486
8.51,1.25,0,Thur,Lunch,2.0,Weekday,0.14688601645123384,0.14585427977746498
10.33,2.0,0,Thur,Lunch,2.0,Weekday,0.1936108422071636,0.19465111602654336
14.15,2.0,0,Thur,Lunch,2.0,Weekday,0.1413427561837456,0.29707084925263094
16.0,2.0,1,Thur,Lunch,2.0,Weekday,0.125,0.34667202895636445
13.16,2.75,0,Thur,Lunch,2.0,Weekday,0.20896656534954408,0.27052751524901136
17.47,3.5,0,Thur,Lunch,2.0,Weekday,0.20034344590726963,0.38608485823446614
34.3,5.9375,1,Thur,Lunch,4.5,Weekday,0.1731049562682216,0.8373215362959985
40.36749999999999,5.0,1,Thur,Lunch,4.5,Weekday,0.12386201771226855,1.0
27.05,5.0,0,Thur,Lunch,4.5,Weekday,0.18484288354898337,0.6429385347543403
16.43,2.3,0,Thur,Lunch,2.0,Weekday,0.1399878271454656,0.3582009518064214
8.35,1.5,0,Thur,Lunch,2.0,Weekday,0.17964071856287425,0.14156444801930426
18.64,1.36,0,Thur,Lunch,3.0,Weekday,0.07296137339055794,0.41745425296601657
11.87,1.63,0,Thur,Lunch,2.0,Weekday,0.13732097725358045,0.23594074669884044
9.78,1.73,1,Thur,Lunch,2.0,Weekday,0.1768916155419223,0.17990481935786581
7.51,2.0,1,Thur,Lunch,2.0,Weekday,0.2663115845539281,0.1190428312889604
14.07,2.5,1,Sun,Dinner,2.0,Weekend,0.17768301350390903,0.29492593337355055
13.13,2.0,1,Sun,Dinner,2.0,Weekend,0.15232292460015232,0.26972317179435623
17.26,2.74,1,Sun,Dinner,3.0,Weekend,0.15874855156431053,0.3804544540518803
24.55,2.0,1,Sun,Dinner,4.0,Weekend,0.0814663951120163,0.5759099135330787
19.77,2.0,1,Sun,Dinner,4.0,Weekend,0.10116337885685382,0.44775118975802675
29.85,5.14,0,Sun,Dinner,4.5,Weekend,0.1721943048576214,0.7180105905221531
40.36749999999999,5.0,1,Sun,Dinner,4.5,Weekend,0.12386201771226855,1.0
25.0,3.75,0,Sun,Dinner,4.0,Weekend,0.15,0.5879750653529058
13.39,2.61,0,Sun,Dinner,2.0,Weekend,0.19492158327109782,0.27669414840136747
16.49,2.0,1,Sun,Dinner,4.0,Weekend,0.12128562765312312,0.35980963871573163
21.5,3.5,1,Sun,Dinner,4.0,Weekend,0.16279069767441862,0.49413499564313973
12.66,2.5,1,Sun,Dinner,2.0,Weekend,0.19747235387045814,0.25712179100475907
16.21,2.0,0,Sun,Dinner,3.0,Weekend,0.12338062924120913,0.35230243313895043
13.81,2.0,1,Sun,Dinner,2.0,Weekend,0.1448225923244026,0.28795495676653937
17.51,3.0,0,Sun,Dinner,2.0,Weekend,0.17133066818960593,0.3871573161740064
24.52,3.48,1,Sun,Dinner,3.0,Weekend,0.14192495921696574,0.5751055700784236
20.76,2.24,1,Sun,Dinner,2.0,Weekend,0.10789980732177264,0.4742945237616464
31.71,4.5,1,Sun,Dinner,4.0,Weekend,0.14191106906338694,0.7678798847107716
10.59,1.61,0,Sat,Dinner,2.0,Weekend,0.15203021718602455,0.20162209263355454
10.63,2.0,0,Sat,Dinner,2.0,Weekend,0.18814675446848542,0.20269455057309477
40.36749999999999,5.9375,1,Sat,Dinner,3.0,Weekend,0.1470861460333189,1.0
15.81,3.16,1,Sat,Dinner,2.0,Weekend,0.19987349778621127,0.3415778537435486
7.25,5.15,1,Sun,Dinner,2.0,Weekend,0.710344827586207,0.1120718546819492
31.85,3.18,1,Sun,Dinner,2.0,Weekend,0.09984301412872841,0.7716334874991624
16.82,4.0,1,Sun,Dinner,2.0,Weekend,0.23781212841854935,0.3686574167169382
32.9,3.11,1,Sun,Dinner,2.0,Weekend,0.0945288753799392,0.7997855084120921
17.89,2.0,1,Sun,Dinner,2.0,Weekend,0.11179429849077696,0.39734566659963816
14.48,2.0,1,Sun,Dinner,2.0,Weekend,0.13812154696132597,0.30591862725383745
9.6,4.0,0,Sun,Dinner,2.0,Weekend,0.4166666666666667,0.175078758629935
34.63,3.55,1,Sun,Dinner,2.0,Weekend,0.102512272596015,0.8461693142972051
34.65,3.68,1,Sun,Dinner,4.0,Weekend,0.10620490620490622,0.8467055432669751
23.33,5.65,1,Sun,Dinner,2.0,Weekend,0.2421774539219889,0.5431999463771031
40.36749999999999,3.5,1,Sun,Dinner,3.0,Weekend,0.08670341239858799,1.0
23.17,5.9375,1,Sun,Dinner,4.0,Weekend,0.2562580923608114,0.5389101146189424
40.36749999999999,3.0,1,Sun,Dinner,2.0,Weekend,0.07431721062736113,1.0
20.69,5.0,1,Sun,Dinner,4.5,Weekend,0.2416626389560174,0.472417722367451
20.9,3.5,0,Sun,Dinner,3.0,Weekend,0.1674641148325359,0.4780481265500369
30.46,2.0,1,Sun,Dinner,4.5,Weekend,0.06565988181221273,0.7343655741001409
18.15,3.5,0,Sun,Dinner,3.0,Weekend,0.1928374655647383,0.4043166432066493
23.1,4.0,1,Sun,Dinner,3.0,Weekend,0.17316017316017315,0.5370333132247471
15.69,1.5,1,Sun,Dinner,2.0,Weekend,0.09560229445506692,0.338360479924928
19.81,4.19,0,Thur,Lunch,2.0,Weekday,0.21150933871781932,0.4488236476975669
28.44,2.56,1,Thur,Lunch,2.0,Weekday,0.090014064697609,0.6802064481533616
15.48,2.02,1,Thur,Lunch,2.0,Weekday,0.13049095607235142,0.33273007574234204
16.58,4.0,1,Thur,Lunch,2.0,Weekday,0.24125452352231608,0.3622226690796971
7.56,1.44,1,Thur,Lunch,2.0,Weekday,0.19047619047619047,0.12038340371338564
10.34,2.0,1,Thur,Lunch,2.0,Weekday,0.19342359767891684,0.1949192305114284
40.36749999999999,5.0,0,Thur,Lunch,4.0,Weekday,0.12386201771226855,1.0
13.0,2.0,0,Thur,Lunch,2.0,Weekday,0.15384615384615385,0.26623768349085064
13.51,2.0,1,Thur,Lunch,2.0,Weekday,0.14803849000740193,0.279911522219988
18.71,4.0,1,Thur,Lunch,3.0,Weekday,0.2137894174238375,0.4193310543602119
12.74,2.01,0,Thur,Lunch,2.0,Weekday,0.15777080062794346,0.25926670688383946
16.4,2.5,0,Thur,Lunch,2.0,Weekday,0.15243902439024393,0.35739660835176623
20.53,4.0,1,Thur,Lunch,4.0,Weekday,0.1948368241597662,0.4681278906092903
16.47,3.23,0,Thur,Lunch,3.0,Weekday,0.19611414693381907,0.35927340974596156
26.59,3.41,1,Sat,Dinner,3.0,Weekend,0.1282437006393381,0.6306052684496282
38.73,3.0,1,Sat,Dinner,4.0,Weekend,0.0774593338497289,0.9560962531000738
24.27,2.03,1,Sat,Dinner,2.0,Weekend,0.08364235681911825,0.5684027079562974
12.76,2.23,0,Sat,Dinner,2.0,Weekend,0.17476489028213166,0.25980293585360953
30.06,2.0,1,Sat,Dinner,3.0,Weekend,0.06653359946773121,0.7236409947047391
25.89,5.16,1,Sat,Dinner,4.0,Weekend,0.1993047508690614,0.6118372545076749
40.36749999999999,5.9375,1,Sat,Dinner,4.0,Weekend,0.1470861460333189,1.0
13.27,2.5,0,Sat,Dinner,2.0,Weekend,0.18839487565938207,0.2734767745827469
28.17,5.9375,0,Sat,Dinner,3.0,Weekend,0.210773872914448,0.6729673570614654
12.9,1.1,0,Sat,Dinner,2.0,Weekend,0.08527131782945736,0.2635565386420002
28.15,3.0,1,Sat,Dinner,4.5,Weekend,0.10657193605683837,0.6724311280916953
11.59,1.5,1,Sat,Dinner,2.0,Weekend,0.12942191544434858,0.22843354112205916
7.74,1.44,1,Sat,Dinner,2.0,Weekend,0.18604651162790697,0.12520946444131648
30.14,3.09,0,Sat,Dinner,4.0,Weekend,0.10252156602521566,0.7257859105838195
12.16,2.2,1,Fri,Lunch,2.0,Weekday,0.18092105263157895,0.24371606676050678
13.42,3.48,0,Fri,Lunch,2.0,Weekday,0.2593144560357675,0.27749849185602254
8.58,1.92,1,Fri,Lunch,1.0,Weekday,0.22377622377622378,0.1477310811716603
15.98,3.0,0,Fri,Lunch,3.0,Weekday,0.18773466833541927,0.34613579998659433
13.42,1.58,1,Fri,Lunch,2.0,Weekday,0.11773472429210134,0.27749849185602254
16.27,2.5,0,Fri,Lunch,2.0,Weekday,0.15365703749231716,0.35391112004826064
10.09,2.0,0,Fri,Lunch,2.0,Weekday,0.19821605550049554,0.18821636838930225
20.45,3.0,1,Sat,Dinner,4.0,Weekend,0.1466992665036675,0.4659829747302099
13.28,2.72,1,Sat,Dinner,2.0,Weekend,0.20481927710843376,0.2737448890676319
22.12,2.88,0,Sat,Dinner,2.0,Weekend,0.13019891500904157,0.5107580937060126
24.01,2.0,1,Sat,Dinner,4.0,Weekend,0.08329862557267805,0.5614317313492863
15.69,3.0,1,Sat,Dinner,3.0,Weekend,0.19120458891013384,0.338360479924928
11.61,3.39,1,Sat,Dinner,2.0,Weekend,0.29198966408268734,0.22896977009182923
10.77,1.47,1,Sat,Dinner,2.0,Weekend,0.13649025069637882,0.20644815336148536
15.53,3.0,1,Sat,Dinner,2.0,Weekend,0.19317450096587252,0.33407064816676724
10.07,1.25,1,Sat,Dinner,2.0,Weekend,0.12413108242303872,0.18768013941953218
12.6,1.0,1,Sat,Dinner,2.0,Weekend,0.07936507936507936,0.2555131040954488
32.83,1.17,1,Sat,Dinner,2.0,Weekend,0.03563813585135547,0.7979087070178967
35.83,4.67,0,Sat,Dinner,3.0,Weekend,0.13033770583310075,0.8783430524834105
29.03,5.92,1,Sat,Dinner,3.0,Weekend,0.2039269720978298,0.6960252027615793
27.18,2.0,0,Sat,Dinner,2.0,Weekend,0.07358351729212656,0.6464240230578459
22.67,2.0,1,Sat,Dinner,2.0,Weekend,0.08822232024702249,0.5255043903746901
17.82,1.75,1,Sat,Dinner,2.0,Weekend,0.09820426487093153,0.39546886520544283
18.78,3.0,0,Thur,Dinner,2.0,Weekday,0.1597444089456869,0.4212078557544072
